_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
1775505,PAA180716,COMMERCIAL BUILDING,18 WESTERN AVE,PITTSBURGH,15202,200,926,"KANE SPECIALTY GROUP, LLC","""REMOVE 12X12 VAT & MASTIC FROM 1ST FLOOR HALLWAY & 9"""" VAT FROM 3RD FLOOR SIDE ROOM""",225,f,2018-12-24,2019-12-24,JOE YAKUBISIN,t,f,2019-12-24,PAA,COMPLETE,40.5061580628341,-80.0877429139366
1775506,PAA170591,STANDARD FORGED PRODUCTS INC,75 NICHOL AVE,MCKEES ROCKS,15136,200,921,GRAY WASTE MANAGEMENT CORPORATION,"""REMOVE 6"""" DIAMETER PIPE INSULATION FROM POWER HOUSE""",72,t,2017-10-30,2017-11-30,JOE YAKUBISIN,t,f,2017-11-30,PAA,COMPLETE,40.476458693138,-80.0607623836998
1775507,UND190233,ALLEGHENY COUNTY CITY-COUNTY BUILDING,414 GRANT ST,PITTSBURGH,15219,0,923,HOMETEAM PROPERTIES,"""REMOVE PIPE ELBOW IN SUB-BASEMENT 8"""" STEAM LINE""",4,t,2019-11-19,2019-11-30,JOE YAKUBISIN,t,f,2019-11-30,UND,COMPLETE,40.4381146583578,-79.9968595061029
1775508,PAA180691,VACANT RESIDENCE,700  ARMANDALE ST,PITTSBURGH,15212,850,916,DIVERSIFIED RESTORATION INNOVATIONS,"""REMOVE ROOF FLASHING TAR; BEIGE LINOLEUM & 12"""" GREEN FLOOR TILESON 2ND FLOOR IN BACK""",1030,f,2018-12-14,2018-12-30,JOE YAKUBISIN,t,f,2018-12-30,PAA,COMPLETE,40.4580402217622,-80.0149293001311
1775509,PAA220581,UOP CATHEDRAL OF LEARNING FILM STUDIES- 4200 5TH AVENUE,,PITTSBURGH,15260,1550,905,"BLT CONTRACTING, INC.","""REMOVE VAT; MASTIC; 6""""X1"""" PIPING AND FITTINGS IN ROOMS B02; 04; 06; 06A; 10""",5026,t,2022-12-15,2023-11-30,CALI FEENEY,t,f,2023-11-30,PAA,COMPLETE,40.4258800438488,-80.0405130170183
1775510,PAA194621,NIOSH BUILDING 106 - 626 COCHRANS MILL ROAD,,PITTSBURGH,15236,450,925,"KLA ROOFING & CONSTRUCTION, LLC","""REMOVE WINDOW GLAZING IN ROOM 100 & 12""""X12"""" FLOOR TILE/MASTIC IN ROOM 101""",406,f,2019-09-16,2019-10-31,JOE YAKUBISIN,t,f,2019-10-31,PAA,COMPLETE,40.3490702946423,-79.9735542694596
1775511,PAA150584,151-155 BROWNSVILLE ROAD,151-155 BROWNSVILLE ROAD,MOUNT OLIVER,15210,650,920,GENERAL CONTRACTING CORP. OF AMERICA,151-155 BROWNSVILLE RD - FLOORING AND ROOF FLASHING; REAR HOUSE - TRANSITE SIDING,6900,f,2015-12-31,2016-01-31,MARC ITKIN,t,f,2016-01-31,PAA,COMPLETE,40.4159285774301,-79.9871423627067
1775512,PAA160088,DIMPERIOS MARKET,5011 SECOND AVENUE,PITTSBURGH,15207,350,912,"CARL FRANK INDUSTRIES, INC.",2ND &3RD FLOOR KITCHEN HALLWAYS,500,t,2016-02-12,2016-06-12,,t,f,2016-06-12,PAA,COMPLETE,40.4081750461914,-79.9433735591229
1775513,PAA150231,FORBES CENTER FOR REHABILITATION AND HEALTHCARE,6655 FRANKSTOWN ROAD,PITTSBURGH,15206,150,944,"NEUMEYER ENVIRONMENTAL SERVICESS, INC.",5TH FLOOR EAST WING - PIPE FITTING INSULATION ABOVE PLASTER CEILING,12,t,2015-05-07,2015-05-31,JOE YAKUBISIN,t,f,,PAA,COMPLETE,40.4597743649066,-79.9084845020947
1775514,UND210038,PORT AUTHORITY OF ALLEGHENY COUNTY,1011 LEBANON RD,WEST MIFFLIN,15122,0,908,"BRISTOL ENVIRONMENTAL, INC.","""REMOVE 1"""" GARAGE FITTINGS""",7,t,2021-04-29,2021-04-29,CALI FEENEY,t,f,2021-04-29,UND,COMPLETE,40.3624499325725,-79.930839996376
